question_id,category,source_entity,method,latency_s,top1_similarity,top1_chunk_id,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5
NAV_014,navigation,SCENARIO_01,semantic,0.022038,0.6842,semantic_092,1.0,1.0,1.0,1.0,1.0,1.0
NAV_015,navigation,SCENARIO_02,semantic,0.021983,0.6351,semantic_093,1.0,1.0,1.0,1.0,1.0,1.0
NAV_016,navigation,ZONE_05,semantic,0.023225,0.6356,semantic_043,0.0,1.0,1.0,0.0,0.3333,0.3333
NAV_017,navigation,ZONE_08,semantic,0.023393,0.5243,semantic_042,1.0,1.0,1.0,1.0,1.0,1.0
NAV_018,navigation,ROUTE_12,semantic,0.024805,0.7295,semantic_047,1.0,1.0,1.0,1.0,1.0,1.0
NAV_019,navigation,SCENARIO_05,semantic,0.022946,0.5337,semantic_096,1.0,1.0,1.0,1.0,1.0,1.0
NAV_020,navigation,ZONE_03,semantic,0.023043,0.6766,semantic_037,1.0,1.0,1.0,1.0,1.0,1.0
NAV_021,navigation,SCENARIO_06,semantic,0.029761,0.5163,semantic_097,1.0,1.0,1.0,1.0,1.0,1.0
NAV_022,navigation,ZONE_09,semantic,0.022699,0.6146,semantic_043,1.0,1.0,1.0,1.0,1.0,1.0
NAV_023,navigation,ROUTE_01,semantic,0.022468,0.8024,semantic_036,1.0,1.0,1.0,1.0,1.0,1.0
NAV_024,navigation,ZONE_09,semantic,0.023354,0.6203,semantic_050,1.0,1.0,1.0,1.0,1.0,1.0
NAV_025,navigation,ZONE_06,semantic,0.023621,0.6584,semantic_040,1.0,1.0,1.0,1.0,1.0,1.0
NAV_026,navigation,ZONE_08,semantic,0.031138,0.4964,semantic_047,1.0,1.0,1.0,1.0,1.0,1.0
NAV_027,navigation,ZONE_07,semantic,0.023701,0.7425,semantic_049,1.0,1.0,1.0,1.0,1.0,1.0
NAV_028,navigation,SCENARIO_03,semantic,0.030919,0.5512,semantic_094,1.0,1.0,1.0,1.0,1.0,1.0
NAV_029,navigation,AISLE_07,semantic,0.02319,0.7683,semantic_022,1.0,1.0,1.0,1.0,1.0,1.0
NAV_030,navigation,ZONE_09,semantic,0.029508,0.5981,semantic_040,0.0,0.0,0.0,0.0,0.0,0.0
SR_001,spatial_relations,ZONE_06,semantic,0.029506,0.7656,semantic_011,1.0,1.0,1.0,1.0,1.0,1.0
SR_002,spatial_relations,ZONE_03,semantic,0.032598,0.763,semantic_008,1.0,1.0,1.0,1.0,1.0,1.0
SR_003,spatial_relations,ZONE_01,semantic,0.029837,0.615,semantic_006,1.0,1.0,1.0,1.0,1.0,1.0
SR_004,spatial_relations,ZONE_08,semantic,0.022064,0.7652,semantic_013,1.0,1.0,1.0,1.0,1.0,1.0
SR_005,spatial_relations,AISLE_05,semantic,0.022102,0.5497,semantic_015,0.0,1.0,1.0,0.0,0.3333,0.3333
SR_006,spatial_relations,ZONE_04,semantic,0.021884,0.7488,semantic_009,1.0,1.0,1.0,1.0,1.0,1.0
SR_007,spatial_relations,AISLE_02,semantic,0.021932,0.5565,semantic_015,0.0,1.0,1.0,0.0,0.3333,0.3333
SR_008,spatial_relations,ZONE_03,semantic,0.031562,0.6559,semantic_008,1.0,1.0,1.0,1.0,1.0,1.0
SR_009,spatial_relations,ZONE_09,semantic,0.022404,0.7098,semantic_014,1.0,1.0,1.0,1.0,1.0,1.0
SR_010,spatial_relations,AISLE_03,semantic,0.022504,0.5921,semantic_022,0.0,0.0,1.0,0.0,0.0,0.2
SR_011,spatial_relations,AISLE_06,semantic,0.023099,0.5505,semantic_022,0.0,1.0,1.0,0.0,0.5,0.5
SR_012,spatial_relations,ZONE_07,semantic,0.024074,0.668,semantic_008,1.0,1.0,1.0,1.0,1.0,1.0
SR_013,spatial_relations,ZONE_02,semantic,0.022804,0.6246,semantic_005,0.0,1.0,1.0,0.0,0.5,0.5
SR_014,spatial_relations,ZONE_01,semantic,0.022813,0.6809,semantic_003,0.0,0.0,1.0,0.0,0.0,0.2
SR_015,spatial_relations,ZONE_09,semantic,0.022727,0.5457,semantic_033,1.0,1.0,1.0,1.0,1.0,1.0
SR_016,spatial_relations,ZONE_05,semantic,0.022398,0.7441,semantic_014,1.0,1.0,1.0,1.0,1.0,1.0
SR_017,spatial_relations,ZONE_06,semantic,0.023671,0.6626,semantic_011,1.0,1.0,1.0,1.0,1.0,1.0
SR_018,spatial_relations,FEAT_04,semantic,0.024986,0.4447,semantic_016,0.0,0.0,0.0,0.0,0.0,0.0
SR_019,spatial_relations,ZONE_07,semantic,0.023621,0.7085,semantic_008,1.0,1.0,1.0,1.0,1.0,1.0
SR_020,spatial_relations,AISLE_01,semantic,0.024296,0.574,semantic_016,1.0,1.0,1.0,1.0,1.0,1.0
SR_021,spatial_relations,ZONE_05,semantic,0.024725,0.6914,semantic_022,0.0,1.0,1.0,0.0,0.5,0.5
SR_022,spatial_relations,AISLE_07,semantic,0.026205,0.5826,semantic_022,1.0,1.0,1.0,1.0,1.0,1.0
SR_023,spatial_relations,ZONE_01,semantic,0.032643,0.6753,semantic_024,0.0,1.0,1.0,0.0,0.5,0.5
SR_024,spatial_relations,ZONE_01,semantic,0.029144,0.6659,semantic_024,0.0,1.0,1.0,0.0,0.5,0.5
SR_025,spatial_relations,ZONE_04,semantic,0.02829,0.764,semantic_009,1.0,1.0,1.0,1.0,1.0,1.0
SR_026,spatial_relations,AISLE_07,semantic,0.029111,0.5746,semantic_022,1.0,1.0,1.0,1.0,1.0,1.0
SR_027,spatial_relations,ZONE_06,semantic,0.029578,0.7641,semantic_011,1.0,1.0,1.0,1.0,1.0,1.0
SR_028,spatial_relations,FEAT_05,semantic,0.039249,0.8254,semantic_081,1.0,1.0,1.0,1.0,1.0,1.0
SR_029,spatial_relations,ZONE_02,semantic,0.027737,0.7515,semantic_007,1.0,1.0,1.0,1.0,1.0,1.0
SR_030,spatial_relations,AISLE_04,semantic,0.025237,0.5296,semantic_015,0.0,0.0,1.0,0.0,0.0,0.2
DIS_001,disambiguation,SECTION_8,semantic,0.032038,0.6732,semantic_058,0.0,0.0,0.0,0.0,0.0,0.0
DIS_002,disambiguation,SECTION_8,semantic,0.032426,0.6286,semantic_061,0.0,0.0,0.0,0.0,0.0,0.0
DIS_003,disambiguation,SECTION_8,semantic,0.024052,0.6249,semantic_062,0.0,0.0,0.0,0.0,0.0,0.0
DIS_004,disambiguation,SECTION_8,semantic,0.022932,0.5792,semantic_087,0.0,0.0,0.0,0.0,0.0,0.0
DIS_005,disambiguation,SECTION_8,semantic,0.027931,0.434,semantic_057,0.0,0.0,0.0,0.0,0.0,0.0
DIS_006,disambiguation,SECTION_8,semantic,0.028669,0.5633,semantic_087,0.0,0.0,0.0,0.0,0.0,0.0
DIS_007,disambiguation,SECTION_8,semantic,0.028226,0.5466,semantic_042,0.0,0.0,0.0,0.0,0.0,0.0
DIS_008,disambiguation,SECTION_8,semantic,0.022781,0.7284,semantic_057,0.0,0.0,0.0,0.0,0.0,0.0
DIS_009,disambiguation,SECTION_8,semantic,0.022952,0.6027,semantic_058,0.0,0.0,0.0,0.0,0.0,0.0
DIS_010,disambiguation,SECTION_8,semantic,0.023663,0.6186,semantic_087,0.0,0.0,0.0,0.0,0.0,0.0
DIS_011,disambiguation,SECTION_8,semantic,0.02441,0.4688,semantic_068,0.0,0.0,0.0,0.0,0.0,0.0
DIS_012,disambiguation,SECTION_8,semantic,0.023815,0.6066,semantic_009,0.0,0.0,0.0,0.0,0.0,0.0
DIS_013,disambiguation,SECTION_0,semantic,0.027561,0.5924,semantic_035,0.0,0.0,0.0,0.0,0.0,0.0
DIS_014,disambiguation,SECTION_8,semantic,0.029864,0.5802,semantic_061,0.0,0.0,0.0,0.0,0.0,0.0
DIS_015,disambiguation,SECTION_8,semantic,0.024997,0.4534,semantic_068,0.0,0.0,0.0,0.0,0.0,0.0
DIS_016,disambiguation,SECTION_8,semantic,0.023643,0.5859,semantic_087,0.0,0.0,0.0,0.0,0.0,0.0
DIS_017,disambiguation,ZONE_02,semantic,0.030459,0.7028,semantic_007,1.0,1.0,1.0,1.0,1.0,1.0
DIS_018,disambiguation,SECTION_8,semantic,0.026084,0.2316,semantic_061,0.0,0.0,0.0,0.0,0.0,0.0
DIS_019,disambiguation,SECTION_8,semantic,0.030798,0.5469,semantic_061,0.0,0.0,0.0,0.0,0.0,0.0
DIS_020,disambiguation,SECTION_8,semantic,0.029181,0.4958,semantic_087,0.0,0.0,0.0,0.0,0.0,0.0
DIS_021,disambiguation,SECTION_8,semantic,0.027417,0.4096,semantic_060,0.0,0.0,0.0,0.0,0.0,0.0
DIS_022,disambiguation,SECTION_8,semantic,0.034111,0.3135,semantic_013,0.0,0.0,0.0,0.0,0.0,0.0
DIS_023,disambiguation,SECTION_8,semantic,0.032671,0.2493,semantic_054,0.0,0.0,0.0,0.0,0.0,0.0
DIS_024,disambiguation,SECTION_8,semantic,0.024688,0.7135,semantic_009,0.0,0.0,0.0,0.0,0.0,0.0
DIS_025,disambiguation,ITEM_06,semantic,0.026257,0.5349,semantic_062,1.0,1.0,1.0,1.0,1.0,1.0
DIS_026,disambiguation,SECTION_8,semantic,0.027814,0.4119,semantic_057,0.0,0.0,0.0,0.0,0.0,0.0
DIS_027,disambiguation,SECTION_8,semantic,0.025355,0.4316,semantic_006,0.0,0.0,0.0,0.0,0.0,0.0
DIS_028,disambiguation,ITEM_16,semantic,0.026739,0.6565,semantic_072,1.0,1.0,1.0,1.0,1.0,1.0
DIS_029,disambiguation,SECTION_8,semantic,0.035506,0.4342,semantic_070,0.0,0.0,0.0,0.0,0.0,0.0
DIS_030,disambiguation,SECTION_8,semantic,0.034755,0.5042,semantic_062,0.0,0.0,0.0,0.0,0.0,0.0
